coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
112,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,,84.92
113,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,,84.92
114,8,8,7.75,8,7.5,7.75,10,10,10,7.92,,84.92
115,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,,84.92
116,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,,84.83
117,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,,84.83
118,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,,84.83
119,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,,84.83
120,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,,84.83
121,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,,84.75
122,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,,84.75
123,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,,84.75
124,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,,84.75
125,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,,84.75
126,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,,84.67
127,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,,84.67
128,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,,84.67
129,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,,84.67
130,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,,84.67
131,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,,84.67
132,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,,84.67
133,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,,84.67
